assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
127937896,127937731,Cnemaspis flaviventralis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Cnemaspis,flaviventralis,,,,"Sayyed, Pyron &amp; Dahanukar, 2016",Endangered,B1ab(iii),3.1,Unknown,Global
127938543,127938529,Cnemaspis kottiyoorensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Cnemaspis,kottiyoorensis,,,,"Cyriac &amp; Umesh, 2014",Critically Endangered,B1ab(iii),3.1,Unknown,Global
127938754,127938699,Cnemaspis rajakarunai,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Cnemaspis,rajakarunai,,,,"Wickramasinghe, Vidanapathirana &amp; Rathnayake, 2016",Critically Endangered,B1ab(iii),3.1,Unknown,Global
127938924,127938795,Cnemaspis rammalensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Cnemaspis,rammalensis,,,,"Vidanapathirana, Gehan-Rajeev, Wickramasinghe, Fernando &amp; Mendis-Wickramasinghe, 2014",Critically Endangered,B1ab(iii),3.1,Unknown,Global
127941237,127941170,Cyrtodactylus rishivalleyensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Cyrtodactylus,rishivalleyensis,,,,"Agarwal, 2016",Endangered,B1ab(iii),3.1,Unknown,Global
127941328,127941306,Cyrtodactylus speciosus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Cyrtodactylus,speciosus,,,,"(Beddome, 1870)",Endangered,B1ab(iii),3.1,Decreasing,Global
127941612,127941607,Hemidactylus pieresii,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Hemidactylus,pieresii,,,,"Kelaart, 1852",Endangered,B1ab(iii),3.1,Decreasing,Global
127941640,127941637,Hemidactylus yajurvedi,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Hemidactylus,yajurvedi,,,,"Murthy, Bauer, Lajmi, Agarwal &amp; Giri, 2015",Endangered,B1ab(iii),3.1,Stable,Global
127942768,127942641,Melanophidium khairei,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,UROPELTIDAE,Melanophidium,khairei,,,,"Gower, Giri, Captain &amp; Wilkinson, 2016",Endangered,B1ab(iii),3.1,Unknown,Global
127942928,127942843,Uropeltis madurensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,UROPELTIDAE,Uropeltis,madurensis,,,,"(Beddome, 1878)",Endangered,B1ab(iii),3.1,Unknown,Global
127942958,127942949,Uropeltis shorttii,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,UROPELTIDAE,Uropeltis,shorttii,,,,"(Beddome, 1863)",Critically Endangered,B1ab(iii),3.1,Unknown,Global
127943012,127942982,Trimeresurus mutabilis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Trimeresurus,mutabilis,,,,"Stoliczka, 1870",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
127945419,29429,Diploderma luei,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,AGAMIDAE,Diploderma,luei,,,,"(Ota, Chen &amp; Shang, 1998)",Endangered,B1ab(iii),3.1,Decreasing,Global
127947412,127947407,Peruphasma schultei,ANIMALIA,ARTHROPODA,PHASMIDA,INSECTA,Pseudophasmatidae,Peruphasma,schultei,,,,"Conle &amp; Hennemann, 2005",Critically Endangered,"B1ab(ii,iii,v)",3.1,Decreasing,Global
127951140,40694,Zenarchopterus robertsi,ANIMALIA,CHORDATA,BELONIFORMES,ACTINOPTERYGII,ZENARCHOPTERIDAE,Zenarchopterus,robertsi,,,,"Collette, 1982",Critically Endangered,B1ab(iii),3.1,Unknown,Global
128260711,128260706,Liasis savuensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,PYTHONIDAE,Liasis,savuensis,,,,"Brongersma, 1956",Endangered,B1ab(v),3.1,Decreasing,Global
128686456,12799,Margaritifera margaritifera,ANIMALIA,MOLLUSCA,UNIONIDA,BIVALVIA,MARGARITIFERIDAE,Margaritifera,margaritifera,,,,"(Linnaeus, 1758)",Endangered,A2c,3.1,Decreasing,Global
128710736,128710699,Neostethus ctenophorus,ANIMALIA,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,PHALLOSTETHIDAE,Neostethus,ctenophorus,,,,"(Aurich, 1937)",Critically Endangered,D,3.1,Unknown,Global
128710749,128710744,Neostethus robertsi,ANIMALIA,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,PHALLOSTETHIDAE,Neostethus,robertsi,,,,"Parenti, 1989",Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
128710830,128710803,Gulaphallus bikolanus,ANIMALIA,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,PHALLOSTETHIDAE,Gulaphallus,bikolanus,,,,"(Herre, 1926)",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
128722526,128722497,Garra wanae,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Garra,wanae,,,,"(Regan, 1914)",Endangered,B1ab(iii),3.1,Unknown,Global
128723263,128723247,Glyptothorax punjabensis,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,SISORIDAE,Glyptothorax,punjabensis,,,,"Mirza &amp; Kashmiri, 1971",Endangered,A2ce+3ce,3.1,Decreasing,Global
128723295,128723276,Glyptothorax stocki,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,SISORIDAE,Glyptothorax,stocki,,,,"Mirza &amp; Nijssen, 1978",Endangered,A2ac+3c,3.1,Decreasing,Global
128723342,128723334,Glyptothorax sufii,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,SISORIDAE,Glyptothorax,sufii,,,,"Asghar Bashir &amp; Mirza, 1975",Endangered,A3ce,3.1,Decreasing,Global
128723664,128723659,Nangra robusta,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,SISORIDAE,Nangra,robusta,,,,"Mirza &amp; Awan, 1973",Endangered,B1ab(iii),3.1,Decreasing,Global
128723713,128723701,Naziritor zhobensis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Naziritor,zhobensis,,,,"(Mirza, 1967)",Endangered,A2bc,3.1,Decreasing,Global
128724336,128724324,Paraschistura naseeri,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,NEMACHEILIDAE,Paraschistura,naseeri,,,,"(Ahmad &amp; Mirza, 1963)",Endangered,A3c,3.1,Decreasing,Global
128725012,128724945,Schistura harnaiensis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,NEMACHEILIDAE,Schistura,harnaiensis,,,,"(Mirza &amp; Nalbant, 1969)",Endangered,B1ab(iii),3.1,Unknown,Global
128725361,128725353,Schistura macrolepis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,NEMACHEILIDAE,Schistura,macrolepis,,,,"Mirza &amp; Bănărescu, 1981",Endangered,A2c+3c,3.1,Decreasing,Global
128727281,128727269,Triplophysa brahui,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,NEMACHEILIDAE,Triplophysa,brahui,,,,"(Zugmayer, 1912)",Endangered,"B2ab(ii,iii)c(iii)",3.1,Decreasing,Global
128727522,128727508,Triplophysa kashmirensis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,NEMACHEILIDAE,Triplophysa,kashmirensis,,,,"(Hora, 1922)",Critically Endangered,A2ace+3ce,3.1,Decreasing,Global
128944834,203021,Wetmorena agasepsoides,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPLOGLOSSIDAE,Wetmorena,agasepsoides,,,,"(Thomas, 1971)",Endangered,"B1ab(i,iii)",3.1,Unknown,Global
128950188,18658,Pteralopex pulchra,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Pteralopex,pulchra,,,,"Flannery, 1991",Critically Endangered,D,3.1,Decreasing,Global
128961575,97217787,Cixius azomariae,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,CIXIIDAE,Cixius,azomariae,,,,"Remane &amp; Asche, 1979",Endangered,"B1ab(iii,iv)+2ab(iii,iv)",3.1,Stable,Global
128969192,56856,Pristimantis phragmipleuron,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,STRABOMANTIDAE,Pristimantis,phragmipleuron,,,,"(Rivero &amp; Serna, 1988)",Critically Endangered,D,3.1,Unknown,Global
128969920,170517,Chelonoidis phantasticus,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TESTUDINIDAE,Chelonoidis,phantasticus,,,,"(Van Denburgh, 1907)",Critically Endangered,D,3.1,Unknown,Global
128970120,128969918,Milyeringa justitia,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,ELEOTRIDAE,Milyeringa,justitia,,,,Larson &amp; Foster 2013,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
128972891,128972888,Galaxias sp. nov. 'Hunter',ANIMALIA,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,GALAXIIDAE,Galaxias,sp. nov. 'Hunter',,,,,Critically Endangered,A3bce,3.1,Decreasing,Global
128972908,128972900,Galaxias sp. nov. 'Yalmy',ANIMALIA,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,GALAXIIDAE,Galaxias,sp. nov. 'Yalmy',,,,,Critically Endangered,"A3ce; B1ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
128972919,128972916,Galaxias sp. nov. 'Morwell',ANIMALIA,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,GALAXIIDAE,Galaxias,sp. nov. 'Morwell',,,,,Critically Endangered,"A2bc+3bce; B1ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
128972932,128972928,Galaxias sp. nov. 'Moroka',ANIMALIA,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,GALAXIIDAE,Galaxias,sp. nov. 'Moroka',,,,,Critically Endangered,"A3ce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
129038584,15933,Pan troglodytes,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HOMINIDAE,Pan,troglodytes,,,,"(Blumenbach, 1799)",Endangered,A4bcde,3.1,Decreasing,Global
129040589,8805,Galaxias fontanus,ANIMALIA,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,GALAXIIDAE,Galaxias,fontanus,,,,"Fulton, 1978",Endangered,"A2abc; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
129040660,8810,Galaxias fuscus,ANIMALIA,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,GALAXIIDAE,Galaxias,fuscus,,,,"Mack, 1936",Endangered,"A3bce; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
129040727,8806,Galaxias johnstoni,ANIMALIA,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,GALAXIIDAE,Galaxias,johnstoni,,,,"Scott, 1936",Endangered,"B1ab(iii,iv)+2ab(iii,iv)",3.1,Stable,Global
129041339,8808,Galaxias pedderensis,ANIMALIA,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,GALAXIIDAE,Galaxias,pedderensis,,,,"Frankenberg, 1968",Endangered,B2ab(v),3.1,Stable,Global
129041409,8814,Galaxias rostratus,ANIMALIA,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,GALAXIIDAE,Galaxias,rostratus,,,,"Klunzinger, 1872",Critically Endangered,A2c,3.1,Decreasing,Global
129041479,8809,Galaxias tanycephalus,ANIMALIA,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,GALAXIIDAE,Galaxias,tanycephalus,,,,"Fulton, 1978",Critically Endangered,A2abe,3.1,Unknown,Global
129041938,129041926,Cairnsichthys bitaeniatus,ANIMALIA,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,MELANOTAENIIDAE,Cairnsichthys,bitaeniatus,,,,"Allen, Hammer &amp; Raadik, 2018",Critically Endangered,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global
