internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
37953,Campomanesia aromatica,Campomanesia glazioviana Kiaersk.,Campomanesia,glazioviana,Kiaersk.,,
37953,Campomanesia aromatica,Campomanesia ciliata O.Berg,Campomanesia,ciliata,O.Berg,,
37953,Campomanesia aromatica,Campomanesia beaurepairiana Kiaersk.,Campomanesia,beaurepairiana,Kiaersk.,,
37953,Campomanesia aromatica,Abbevillea martiana O.Berg,Abbevillea,martiana,O.Berg,,
37953,Campomanesia aromatica,Burcardia aromatica (Aub.) Raf.,Burcardia,aromatica,(Aub.) Raf.,,
37953,Campomanesia aromatica,Psidium tenuifolium Mart. ex DC.,Psidium,tenuifolium,Mart. ex DC.,,
37953,Campomanesia aromatica,Myrtus psidioides Desv. ex Ham.,Myrtus,psidioides,Desv. ex Ham.,,
37953,Campomanesia aromatica,Myrtus fascicularis DC.,Myrtus,fascicularis,DC.,,
38072,Critoniopsis sevillana,Critoniopsis floribunda (Kunth) H.Rob. var. sevillana (Cuatrec.) Haro-Carr. & H.Rob.,Critoniopsis,floribunda,(Kunth) H.Rob.,variety,(Cuatrec.) Haro-Carr. & H.Rob.
38013,Gaertnera walkeri,Sykesia walkeri Arn.,Sykesia,walkeri,Arn.,,
38028,Prunus ceylanica,Polydontia ceylanica Wight,Polydontia,ceylanica,Wight,,
38029,Psychotria gardneri,Grumilea gardneri Thwaites,Grumilea,gardneri,Thwaites,,
38038,Syzygium fergusonii,Syzygium fergusoni (Trimen) Gamble [orth. var.],Syzygium,fergusoni,(Trimen) Gamble [orth. var.],,
38038,Syzygium fergusonii,Eugenia fergusonii Trimen,Eugenia,fergusonii,Trimen,,
38041,Semecarpus pseudoemarginatus,Semecarpus pseudo-emarginata Kosterm. [orth. var.],Semecarpus,pseudo-emarginata,Kosterm. [orth. var.],,
38042,Psydrax montanus,Canthium montanum Thwaites,Canthium,montanum,Thwaites,,
38042,Psydrax montanus,Psydrax montanum (Thwaites) Ridsdale [orth. var.],Psydrax,montanum,(Thwaites) Ridsdale [orth. var.],,
38043,Lasianthus gardneri,Mephitidia gardneri Thwaites,Mephitidia,gardneri,Thwaites,,
38044,Lasianthus varians,Mephitidia varians Thwaites,Mephitidia,varians,Thwaites,,
38182,Dalbergia campenonii,Dalbergia catipenonii Drake [orth. error],Dalbergia,catipenonii,Drake [orth. error],,
38185,Dalbergia capuronii,Dalbergia brachystachya  Bosser & R. Rabev.,Dalbergia,brachystachya ,Bosser & R. Rabev.,,
38262,Inga maritima,Inga velloziana Mart.,Inga,velloziana,Mart.,,
38211,Senegalia etilis,Acacia etilis Speg.,Acacia,etilis,Speg.,,
38216,Coursetia brachyrhachis,Coursetia brachyrachis Harms [orth. error],Coursetia,brachyrachis,Harms [orth. error],,
38220,Siphoneugena occidentalis,Siphoneugenia occidentalis D.Legrand [orth. error],Siphoneugenia,occidentalis,D.Legrand [orth. error],,
38228,Inga salicifolia,Inga salicifoliola T.D.Penn. [orth. error],Inga,salicifoliola,T.D.Penn. [orth. error],,
38318,Inga grazielae,Affonsea grazielae Vinha,Affonsea,grazielae,Vinha,,
38330,Meiogyne hainanense,Oncodostigma hainanense (Merr.) Tsiang &amp; P.T. Li,Oncodostigma,hainanense,(Merr.) Tsiang &amp; P.T. Li,,
38330,Meiogyne hainanense,Fissistigma hainanense Merr.,Fissistigma,hainanense,Merr.,,
38330,Meiogyne hainanense,Chieniodendron hainanense (Merr.) Y.Tsiang & P.T.Li,Chieniodendron,hainanense,(Merr.) Y.Tsiang & P.T.Li,,
38355,Diospyros mollissima,Diospyros molissima Kosterm. [orth. error],Diospyros,molissima,Kosterm. [orth. error],,
38493,Corypha taliera,Taliera  bengalensis  Spreng.,Taliera ,bengalensis ,Spreng.,,
38493,Corypha taliera,Corypha  careyana  Becc.,Corypha ,careyana ,Becc. ,,
38493,Corypha taliera,Corypha  martiana  Becc. ex Hook.f.z,Corypha ,martiana ,Becc. ex Hook.f.z,,
38493,Corypha taliera,Taliera  tali  Mart. ex Blume,Taliera, tali ,Mart. ex Blume,,
38451,Borassodendron machadonis,Borassus machadonis Ridl.,Borassus,machadonis,Ridl.,,
38508,Deckenia nobilis,Iriartea nobilis  (H.Wendl. ex Seem.) N.E.Br.  ,Iriartea,nobilis, (H.Wendl. ex Seem.) N.E.Br.  ,,
38576,Howea belmoreana,Kentia belmoreana C.Moore & F.Muell.,Kentia,belmoreana,C.Moore & F.Muell.,,
38577,Howea forsteriana,Kentia forsteriana F.Muell.,Kentia,forsteriana,F.Muell.,,
38514,Balaka insularis,Solfia samoensis Rech.,Solfia,samoensis,Rech.,,
38514,Balaka insularis,Drymophloeus samoensis (Rech.) Becc. ex Martelli,Drymophloeus,samoensis,(Rech.) Becc. ex Martelli,,
38602,Lodoicea maldivica,Borassus sonneratii Giseke,Borassus,sonneratii,Giseke,,
38602,Lodoicea maldivica,Lodoicea callypige Comm. ex J.St.Hil.,Lodoicea,callypige,Comm. ex J.St.Hil.,,
38602,Lodoicea maldivica,Lodoicea sechellarum Labill.,Lodoicea,sechellarum,Labill.,,
38602,Lodoicea maldivica,Cocos maritima Comm. ex H.Wendl.,Cocos,maritima,Comm. ex H.Wendl.,,
38602,Lodoicea maldivica,Lodoicea sonneratii (Giseke) Baill.,Lodoicea,sonneratii,(Giseke) Baill.,,
38602,Lodoicea maldivica,Cocos maldivica J.F.Gmel.,Cocos,maldivica,J.F.Gmel.,,
38603,Loxococcus rupicola,Ptychosperma rupicola Thwaites,Ptychosperma,rupicola,Thwaites,,
38681,Rhopaloblaste augusta,Areca augusta Kurz, Areca,augusta,Kurz,,
38681,Rhopaloblaste augusta,Ptychoraphis  augusta  (Kurz) Becc.,Ptychoraphis ,augusta ,(Kurz) Becc. ,,
38615,Normanbya normanbyi,Cocos normanbyi W.Hill,Cocos,normanbyi,W.Hill,,
38631,Pholidocarpus kingianus,Livistona kingiana Becc.,Livistona,kingiana,Becc.,,
38652,Pritchardia remota,Washingtonia remota Kuntze,Washingtonia,remota,Kuntze,,
38700,Syagrus macrocarpa,Cocos procopiana Glaz. ex Drude,Cocos,procopiana,Glaz. ex Drude,,
38700,Syagrus macrocarpa,Syagrus getuliana (Bondar) Glassman,Syagrus,getuliana,(Bondar) Glassman,,
38700,Syagrus macrocarpa,Cocos macrocarpa (Barb.Rodr.) Barb.Rodr.,Cocos,macrocarpa,(Barb.Rodr.) Barb.Rodr.,,
38700,Syagrus macrocarpa,Barbosa getuliana (Bondar) A.D.Hawkes,Barbosa,getuliana,(Bondar) A.D.Hawkes,,
38700,Syagrus macrocarpa,Calappa procopiana (Glaz. ex Drude) Kuntze,Calappa,procopiana,(Glaz. ex Drude) Kuntze,,
38700,Syagrus macrocarpa,Cocos getuliana Bondar,Cocos,getuliana,Bondar,,
38763,Drypetes porteri,Hemicyclia porteri Gamble,Hemicyclia,porteri,Gamble,,
38764,Drypetes travancorica,Drypetes travancoria (Bourd.) Santapau & S.K.Jain [orth. var.],Drypetes,travancoria,(Bourd.) Santapau & S.K.Jain [orth. var.],,
38765,Drypetes wightii,Hemicyclia wightii Hook.f.,Hemicyclia,wightii,Hook.f.,,
38777,Xylosma latifolia,Xylosma latifolium Hook.f. & Thomson [orth. var.],Xylosma,latifolium,Hook.f. & Thomson [orth. var.],,
38738,Mezilaurus navalium,Silvia navalium Allemão,Silvia,navalium,Allemão,,
38738,Mezilaurus navalium,Silvaea navalium (Allemão) Meisn.,Silvaea,navalium,(Allemão) Meisn.,,
38738,Mezilaurus navalium,Endiandra navalium (Allemão) Benth.,Endiandra,navalium,(Allemão) Benth.,,
38738,Mezilaurus navalium,Mezia navalium (Allemão) Kuntze,Mezia,navalium,(Allemão) Kuntze,,
38749,Mitrephora grandiflora,Kinginda grandiflora Kuntze,Kinginda,grandiflora,Kuntze,,
38750,Monoon shendurunii,Polyalthia shendurunii Basha &amp; Sasdh.,Polyalthia,shendurunii,Basha &amp; Sasdh.,,
38754,Atuna indica,Parinari  indica  (Bedd.) Bedd.,Parinari ,indica ,(Bedd.) Bedd. ,,
38754,Atuna indica,Ferolia  indica  (Bedd.) Kuntze,Ferolia ,indica ,(Bedd.) Kuntze,,
38754,Atuna indica,Entosiphon  indicum  Bedd.,Entosiphon ,indicum ,Bedd.,,
38754,Atuna indica,Cyclandrophora  indica  (Bedd.) Prance ex Kosterm.,Cyclandrophora, indica ,(Bedd.) Prance ex Kosterm. ,,
38804,Pseudalbizzia berteroana,Albizia berteriana (Balb. ex DC.) Fawc. & Rendle [orth. var.],Albizia,berteriana,(Balb. ex DC.) Fawc. & Rendle [orth. var.],,
38804,Pseudalbizzia berteroana,Acacia berteroana Balb. ex DC.,Acacia,berteroana,Balb. ex DC.,,
38804,Pseudalbizzia berteroana,Albizia berteroana (Balb. ex DC.) Fawc. &amp; Rendle,Albizia,berteroana,(Balb. ex DC.) Fawc. &amp; Rendle,,
38808,Bucida ophiticola,Terminalia buceras (L.) C.Wright,Terminalia,buceras,(L.) C.Wright,,
