internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
39794,Macaca pagensis,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,pagensis,,,,,"(Miller, 1903)","Until relatively recently, Macaca pagensis included M. siberu (Roos et al. 2003). It is now considered a separate species from M. siberu due to genetic and morphological difference. Earlier it was considered as a subspecies of M. nemestrina until established as a separate species."
12556,Macaca nigra,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,nigra,,,,,"(Desmarest, 1822)","Individuals with intermediate characteristics, presumably hybrids, have historically been seen along the border of this species' range and that of Macaca nigrescens (although this contact zone may no longer exist; Sugardjito et al. 1989). The zone of intergradation is the downstream region of the Onggak Dumoga River and Groves (1980) placed M. nigrescens as a subspecies of M. nigra. Despite the morphological and genetical similarity, M. nigra and M. nigrescens are still distinct and therefore classified as distinct species (Groves 2001). Macaca nigra belongs to the silenus group including M. pagensis, M. siberu, M. leonina, M. silenus, and M. nemestrina."
12560,Macaca sinica,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,sinica,,,,,"(Linneaus, 1771)","Aside from the two previously recognized forms, a third subspecies, M. s. opisthomelas, is also now also recognized by primate field biologists in Sri Lanka, which is assessed separately here. There is some inter-gradation between the three subspecies (Groves, 2001; Dittus, 2013).The taxonomy of Macaca sinica:The species belongs to the sinica group (Groves, 2001). Three subspecies are recognized and assessed here:Macaca sinica sinica (Linnaeus, 1771)Macaca sinica aurifrons (Pocock, 1931)Macaca sinica opisthomelas (Hill, 1942)In addition to the two previously recognized forms, a third subspecies, M. s. opisthomelas first described by Hill (1942), is confirmed by primate field biologists in Sri Lanka (Dittus 2013; Eisenberg and McKay 1970; Phillips 1935, 1980). It is a distinct phenotype apical in the higher elevations of the montane zone. It is not a type intermediate (in morphology or geographic distribution) between M. s. aurifrons and M. s. sinica as had been suggested by Brandon-Jones et al. (2004) and Groves (2001) following the suggestion by Fooden (1979). It was first assessed in 2003 (CAMP 2003, Molur et al. 2003, Dittus et al. 2008) and is updated here along with the other macaque subspecies. A fourth population M. s. longicaudata has been described by Deraniyagala (1965) but its status is uncertain and has been considered as a variant of M. s. sinica (Eisenberg and McKay, 1970).  There are some intergradations between the three subspecies where their respective areas of occupancy overlap (Groves, 2001)."
12559,Macaca silenus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,silenus,,,,,"(Linnaeus, 1758)","Macaca silenus is a member of the silenus group. The other phylogenetic sister species in this group include M. leonina, M. siberu, M. nemestrina, M. pagensis and the seven Sulawesi species."
12753,Mandrillus leucophaeus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Mandrillus,leucophaeus,,,,,"(F. Cuvier, 1807)","Formerly placed by some in the genus Papio (Wolfheim, 1983), genetic analyses shows Mandrillus is more closely related to Cercocebus than to Papio (Disotell et al. 1992, Disotell 1994); morphological research concurs (Fleagle and McGraw 1999, McGraw and Fleagle 2006).There are two subspecies: M. l. leucophaeus on the mainland, and M. l. poensis on Bioko (Zukowsky 1922). Grubb et al. (2003) commented that on present evidence the two forms appear very similar."
20229,Simias concolor,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Simias,concolor,,,,,"Miller, 1903","This species was formerly placed in the genus Nasalis. Recent molecular analysis suggest a close relationship between Simias and Nasalis, however, current classification still places Simias concolor in its own genus (Whittaker et al. 2006). To date, two subspecies are recognised, primarily based on slight differences in pelage colouration: S. c. concolor, which is found in Indonesia on the islands of Sipora, North Pagai, as well as South Pagai, and S. c. siberu, which is exclusively found on the island of Siberut (Miller 1903, Chasen and Kloss 1927)."
39811,Presbytis melalophos,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,melalophos,,,,,"(Raffles, 1821)","All of the former subspecies of Presbytis melalophos are now recognised as distinct species. However, the species has colour morphs: the ‘foxy-red nobilis’, ‘less-reddish ferruginae’ and ‘golden buff aurata’, black chested, white tail tipped and the hands and feet black. A fourth form ‘fluvialtilis’ described in 1940 by N.F. Chasen of Palembang, Sumatra is also accounted for."
39815,Presbytis potenziani,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,potenziani,,,,,"(Bonaparte, 1856)",Presbytis potenziani is now monotypic and the former subspecies P. p. siberu is now a distinct species.
39803,Presbytis chrysomelas,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,chrysomelas,,,,,"(Müller, 1838)","This taxon was formerly considered a subspecies of Presbytis femoralis and P. melalophos. The number of subspecies is disputed. In addition to the two generally recognized forms (Presbytis chrysomelas chrysomelas and P. c. cruciger) there is an additional, isolated population found only in a small area of southeastern Sarawak (Betong, Saribas; Nimong; Batang Lupar) that probably represents an as yet undescribed subspecies (Groves 2001)."
4203,Cercocebus sanjei,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,sanjei,,,,,"Mittermeier, 1986","Grubb et al. (2003) included this species in Cercocebus galeritus, but Groves (2005) and Kingdon (2001) considered it distinct."
