assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
17968950,128073282,Nomascus gabriellae,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Nomascus,gabriellae,,,,"(Thomas, 1909)",Endangered,A4cd,3.1,Decreasing,Global
17969392,41643,Nomascus hainanus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Nomascus,hainanus,,,,"(Thomas, 1892)",Critically Endangered,A2acd; B1ab(iii); D,3.1,Stable,Global
17969578,41642,Nomascus nasutus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Nomascus,nasutus,,,,"(Kunkel d'Herculais, 1884)",Critically Endangered,"A2cd; C1+2a(i,ii); D",3.1,Decreasing,Global
17970966,163017685,Nycticebus coucang,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LORISIDAE,Nycticebus,coucang,,,,"(Boddaert, 1785)",Endangered,A2acde+4acde,3.1,Decreasing,Global
17971784,136532,Palaeopropithecus ingens,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PALAEOPROPITHECIDAE,Palaeopropithecus,ingens,,,,"G. Grandidier, 1899",Extinct,,3.1,,Global
17972422,39954,Callicebus coimbrai,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PITHECIIDAE,Callicebus,coimbrai,,,,"Kobayashi &amp; Langguth, 1999",Endangered,"B2ab(ii,iii,iv,v); C2a(i,ii)",3.1,Decreasing,Global
17972778,41550,Plecturocebus modestus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PITHECIIDAE,Plecturocebus,modestus,,,,"Lönnberg, 1939",Endangered,A3cd,3.1,Decreasing,Global
17975319,3553,Plecturocebus oenanthe,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PITHECIIDAE,Plecturocebus,oenanthe,,,,"Thomas, 1924",Critically Endangered,A2cd,3.1,Decreasing,Global
17975516,3554,Plecturocebus olallae,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PITHECIIDAE,Plecturocebus,olallae,,,,"Lönnberg, 1939",Critically Endangered,A3cd,3.1,Decreasing,Global
17976302,136515,Xenothrix mcgregori,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,PITHECIIDAE,Xenothrix,mcgregori,,,,"Williams &amp; Koopman, 1952",Extinct,,3.1,,Global
17977202,179234,Tarsius tumpara,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,TARSIIDAE,Tarsius,tumpara,,,,"Shekelle, Groves, Merker &amp; Supriatna, 2008",Critically Endangered,"A2acd+4acd; B1ab(iii,v)",3.1,Decreasing,Global
17977351,21493,Tarsius sangirensis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,TARSIIDAE,Tarsius,sangirensis,,,,"Meyer, 1897",Endangered,B1ab(iii),3.1,Decreasing,Global
17977515,21494,Tarsius pelengensis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,TARSIIDAE,Tarsius,pelengensis,,,,"Sody, 1949",Endangered,"B1ab(ii,iii)",3.1,Decreasing,Global
17977980,21490,Tarsius pumilus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,TARSIIDAE,Tarsius,pumilus,,,,"Miller &amp; Hollister, 1921",Endangered,B2ab(iii),3.1,Decreasing,Global
17981252,81237954,Cebus brunneus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CEBIDAE,Cebus,brunneus,,,,"Allen, 1914",Endangered,A4cd,3.1,Decreasing,Global
17986913,136912,Presbytis sumatrana,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Presbytis,sumatrana,,,,"(Müller &amp; Schlegel, 1841)",Endangered,A2cd+4cd,3.1,Decreasing,Global
17986963,39816,Presbytis siberu,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Presbytis,siberu,,,,"(Chasen &amp; Kloss, 1928)",Endangered,A2cd+4cd,3.1,Decreasing,Global
17987041,39810,Presbytis sabana,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Presbytis,sabana,,,,"(Thomas, 1893)",Endangered,A2acd+4acd,3.1,Decreasing,Global
17988378,39872,Trachypithecus leucocephalus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Trachypithecus,leucocephalus,,,,"Tan, 1955",Critically Endangered,A2cd; C2a(i),3.1,Decreasing,Global
17990856,39890,Hylobates funereus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Hylobates,funereus,,,,"I. Geoffroy, 1850",Endangered,A4cd,3.1,Decreasing,Global
17990882,39889,Hylobates abbotti,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Hylobates,abbotti,,,,"Kloss, 1929",Endangered,A4cd,3.1,Decreasing,Global
17990934,39888,Hylobates muelleri,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Hylobates,muelleri,,,,"Martin, 1841",Endangered,A4cd,3.1,Decreasing,Global
18493355,6553,Dicerorhinus sumatrensis,ANIMALIA,CHORDATA,PERISSODACTYLA,MAMMALIA,RHINOCEROTIDAE,Dicerorhinus,sumatrensis,,,,"(G. Fischer, 1814)",Critically Endangered,A2cd+3cd+4cd; C2a(i); D,3.1,Decreasing,Global
